Component,Description,Part,References,Value,Footprint,Quantity Per PCB,ORDER,MP,,Datasheet,MF,Package,Price,Availability,Digi-Key_Purchase_URL,Digi-Key_Part_Number,Field8,Field4,Field7,Field6,Field5
1,Unpolarized capacitor,C_Small,"C1 C4 C5 C6 C7 C8 C9 C11 C13 C14 C15 C16 C17
 C25 C30 C33 C35 C36 C37 C48 C49 C50 C52 C54
 C55 C56 C57 C58 C59 C61 C63 C66 C69 C70 C71
 C72 C73 C75 C77 C81 C83 C84 C86 C87 C88 C90
 C91 C92 C93",0.1uF,C_0603_HandSoldering,49,500,C0603C104K5RECAUTO,ok,,,,,,,,,,,,
2,Unpolarized capacitor,C_Small,C42,100uF,C_0805_HandSoldering,1,10,F951A106MRAAQ2,ok,,,,,,,,,,,,
3,Unpolarized capacitor,C,C27 C38 C51 C67 C68 C74 C76 C82 C85 C89,10uF,C_0603_HandSoldering,10,100,LMK107BBj106KALT,ok,,,,,,,,,,,,
4,Unpolarized capacitor,C,C3,10uF,CP_Tantalum_Case-T_EIA-3528-12_Hand,1,10,T491C106K025AT7280,ok,,,,,,,,,,,,
5,Unpolarized capacitor,C_Small,C40 C41,18pF,C_0603_HandSoldering,2,20,GCM1885C1H180JA16D,ok,,,,,,,,,,,,
6,Unpolarized capacitor,C_Small,C2 C24 C29 C34 C39 C43 C44 C60 C62 C64 C65,1uF,C_0603_HandSoldering,11,50,JMK107C6105KA-T,ok,,,,,,,,,,,,
7,Unpolarized capacitor,C_Small,C12 C18 C19 C20,22uF,C_0805_HandSoldering,4,50,GRM219R61A226MEA0D,ok,,,,,,,,,,,,
8,Polarised capacitor,CP1_Small,C21 C22,22uF,CP_Elec_4x5.8,2,20,EEE-FK1A220AR,ok,,,,,,,,,,,,
9,Unpolarized capacitor,C_Small,C45 C46 C47 C53,22uF,C_0603_HandSoldering,4,50,GRM188R60J226MEA0D,ok,,,,,,,,,,,,
10,Polarised capacitor,CP1_Small,C31 C32,330uF,CP_Elec_6.3x7.7,2,15,EEE-FKJ331XAP,ok,,,,,,,,,,,,
11,Unpolarized capacitor,C_Small,C78 C79 C80,33pF,C_0603_HandSoldering,3,30,GCM1885C1H330FA16J,ok,,,,,,,,,,,,
12,Unpolarized capacitor,C_Small,C28,33uF,C_0805_HandSoldering,1,10,81-GRM21BR60G336ME5L,ok,,,,,,,,,,,,
13,Unpolarized capacitor,C_Small,C10,4.7uF,C_0603_HandSoldering,1,0,JMK107BB7475KA-T,ok,,,,,,,,,,,,
14,Polarised capacitor,CP1_Small,C23,47uF,CP_Elec_4x5.8,1,5,EEE-FKJ470UAR,ok,,,,,,,,,,,,
15,Unpolarized capacitor,C_Small,C26,68uF,C_0805_HandSoldering,1,5,F380J686MSALZT,ok,,,,,,,,,,,,
16,Schottky diode,D_Schottky,D4 D6,D_Schottky,D_SOD-323_HandSoldering,2,0,---,ok,,,,,,,,,,,,
17,"LED, small symbol",LED_Small,D11,LED_3V3,LED_0805_HandSoldering,1,50,APTD2012LVBC/D,,,,,,,,,,,,,
18,"LED, small symbol",LED_Small,D3,LED_CStat2,LED_0805_HandSoldering,1,0,---,,,,,,,,,,,,,
19,"LED, small symbol",LED_Small,D7,LED_Charge,LED_0805_HandSoldering,1,0,---,,,,,,,,,,,,,
20,"LED, small symbol",LED_Small,D9,LED_WLAN,LED_0805_HandSoldering,1,0,---,,,,,,,,,,,,,
21,"LED, small symbol",LED_Small,D10,LED_WWAN,LED_0805_HandSoldering,1,0,---,,,,,,,,,,,,,
22,Schottky diode,D_Schottky,D2 D8,PDS1040,DIO_SBR10U200P5-13,2,20,PDS1040,ok,,,,,,,,,,,,
23,"Schottky diode, small symbol",D_Schottky_Small,D5,ZLLS350,D_SOD-523,1,10,ZLLS350,ok,,,,,,,,,,,,
24,"LATCH ASSEMBLY, FOR MINI PCI; Accessory Type: Latch; For Use With: 67910 Series Edge Card Connectors",48099-5701,J27 J30 J31,48099-5701,MOLEX_48099-5701,3,28,48099-5701,ok,,,,,,,,,,,,
25,Micro-SD Card Connector [Würth Elektronik] 693072010801 Micro-SD Card Connector,693072010801,J4,693072010801,693072010801,1,8,693072010801,ok,,,,,,,,,,,,
26,"Generic connector, single row, 01x04",Conn_01x04,J33,BAT,Pin_Header_Angled_1x04_Pitch2.54mm,1,10,78938-104HLF,,,,,,,,,,,,,
27,DC Barrel Jack,Barrel_Jack,J6,Barrel_Jack,SWC_RAPC712X,1,8,KLDX-0202-AC,ok,,,,,,,,,,,,
28,"Generic connector, single row, 01x03",Conn_01x03,J15,Conn_01x03,Pin_Header_Straight_1x03_Pitch2.54mm,1,10,90120-0123,,,,,,,,,,,,,
29,"Generic connector, single row, 01x04",Conn_01x04,J22,Conn_01x04,Pin_Header_Straight_1x04_Pitch2.54mm,1,10,90120-0124,,,,,,,,,,,,,
30,"Generic connector, single row, 01x04",Conn_01x04,J24,Conn_01x04,Pin_Header_Straight_1x04_Pitch2.00mm,1,30,951104-8622-AR,,,,,,,,,,,,,
31,"Generic connector, single row, 01x02",Conn_01x02,J29,Conn_5V,Pin_Header_Angled_1x02_Pitch2.54mm,1,10,826949-2,,,,,,,,,,,,,
32,"Generic connector, single row, 01x08",Conn_01x08,J34,Conn_ATTINY,Pin_Header_Straight_2x04_Pitch2.00mm,1,10,M22-2520205,,,,,,,,,,,,,
33,"Generic connector, single row, 01x02",Conn_01x02,J19,Conn_BOOT,Pin_Header_Straight_1x02_Pitch2.54mm,1,30,826936-2,,,,,,,,,,,,,
34,"Generic connector, single row, 01x06",Conn_01x06,J26,Conn_Backlight,Pin_Header_Angled_1x06_Pitch2.00mm,1,10,M22-2510646,,,,,,,,,,,,,
35,"Generic connector, single row, 01x06",Conn_01x06,J25,Conn_CONSOLE,Pin_Header_Angled_1x06_Pitch2.54mm,1,10,826631-6,,,,,,,,,,,,,
36,"Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",Conn_02x06_Odd_Even,J37,Conn_CSI,Pin_Header_Straight_2x06_Pitch2.00mm,1,10,M22-2520305,,,,,,,,,,,,,
37,"Generic connector, single row, 01x04",Conn_01x04,J20,Conn_GPIO1,Pin_Header_Straight_1x04_Pitch2.00mm,1,10,M22-2510446,,,,,,,,,,,,,
38,,Conn_HDMI,J13,Conn_HDMI,685119134923,1,10,710-685119134923,ok,,,,,,,,,,,,
39,"Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",Conn_02x10_Odd_Even,J14,Conn_LVDS,Pin_Header_Angled_2x10_Pitch2.00mm,1,10,951210-7622-AR,,,,,,,,,,,,,
40,"Generic connector, single row, 01x03",Conn_01x03,J16,Conn_LineIn,Pin_Header_Straight_1x03_Pitch2.00mm,1,10,M22-2510305,,,,,,,,,,,,,
41,"Generic connector, single row, 01x03",Conn_01x03,J17,Conn_LineOut,Pin_Header_Straight_1x03_Pitch2.00mm,1,0,---,,,,,,,,,,,,,
42,"Generic connector, single row, 01x02",Conn_01x02,J23,Conn_RESET,Pin_Header_Straight_1x02_Pitch2.54mm,1,0,---,,,,,,,,,,,,,
43,"Generic connector, single row, 01x02",Conn_01x02,J28,Conn_SDWP,Pin_Header_Straight_1x02_Pitch2.54mm,1,0,---,,,,,,,,,,,,,
44,"Generic connector, single row, 01x06",Conn_01x06,J35,Conn_SPI1,Pin_Header_Straight_1x06_Pitch2.00mm,1,10,M22-2510646,,,,,,,,,,,,,
45,"Generic connector, single row, 01x06",Conn_01x06,J21,Conn_SPI2,Pin_Header_Straight_1x06_Pitch2.00mm,1,0,---,,,,,,,,,,,,,
46,"Generic connector, single row, 01x06",Conn_01x06,J36,Conn_WWAN_AUX,Pin_Header_Straight_2x03_Pitch2.00mm,1,10,M22-2520346,,,,,,,,,,,,,
47,SIM Card,SIM_Card,J32,SIM_Card,TE_2199337-5,1,10,2199337-5,ok,,,,,,,,,,,,
48,point,TEST_1P,J8,TEST_3V,Measurement_Point_Round-SMD-Pad_Small,1,0,---,,,,,,,,,,,,,
49,point,TEST_1P,J11,TEST_ON,Measurement_Point_Round-SMD-Pad_Small,1,0,---,,,,,,,,,,,,,
50,point,TEST_1P,J10,TEST_PMIC_ON,Measurement_Point_Round-SMD-Pad_Small,1,0,---,,,,,,,,,,,,,
51,4-pin (audio) jack receptable (stereo + 4th pin/TRRS connector),Audio-Jack-4,J18,TRRS,SJ-43516-SMT,1,7,SJ-43516-SMT,ok,,,,,,,,,,,,
52,DF40 Series 100 Position Dual Row 0.4 mm Pitch Surface Mount Vertical Receptacle,TinyRex-J1-DF40C,J1,TinyRex-J1-DF40C,HRS_DF40C-100DS-0.4V(51),1,21,DF40C-100DS-0.4V(51),ok,Hirose,,,,,,,,,,,
53,DF40 Series 100 Position Dual Row 0.4 mm Pitch Surface Mount Vertical Receptacle,TinyRex-J2-DF40C,J2,TinyRex-J2-DF40C,HRS_DF40C-100DS-0.4V(51),1,0,DF40C-100DS-0.4V(51),ok,Hirose,,,,,,,,,,,
54,DF40 Series 100 Position Dual Row 0.4 mm Pitch Surface Mount Vertical Receptacle,TinyRex-J3-DF40C,J3,TinyRex-J3-DF40C,HRS_DF40C-100DS-0.4V(51),1,0,DF40C-100DS-0.4V(51),ok,Hirose,,,,,,,,,,,
55,USB Type A connector,USB_A,J5 J7,USB_A,USB_A,2,12,614004190021,ok,,,,,,,,,,,,
56,"Generic connector, single row, 01x04",Conn_01x04,J9,USB_INT_1,Pin_Header_Angled_1x04_Pitch2.00mm,1,0,---,,,,,,,,,,,,,
57,"Generic connector, single row, 01x04",Conn_01x04,J12,USB_INT_3,Pin_Header_Angled_1x04_Pitch2.00mm,1,0,---,,,,,,,,,,,,,
58,Inductor,L,L1,1 uH,Inductor_Wurth_MAPI-4020,1,10,78438356010,ok,78438356010,,,,,,,,,,,
59,Inductor,L,L3,10 uH,Inductor_Wurth_MAPI-4020,1,10,SRP4020TA-100M,ok,,,,,,,,,,,,
60,Inductor,L,L2,18 uH,SELF-WE-PD-XXL,1,10,B953AS-180M=P3,ok,B953AS-180M=P3,,,,,,,,,,,
61,"Ferrite bead, small symbol",Ferrite_Bead_Small,L4 L5,220@100MHz,R_0603_HandSoldering,2,20,FBMH1608HM221-TV,ok,,,,,,,,,,,,
62,,J0G-0003NL,P2,J0G-0003NL,PULSE_J0G-0003NL,1,8,J0G-0003NL,ok,Conn RJ-45 Integrated Magnetics F 8 POS 2.03mm Solder RA Thru-Hole 17 Terminal 1 Port,Pulse,,,,,,,,,,
63,"50V Vds, 0.22 A Id, N-channel MOSFET, SOT-23",2N7002,Q1,2N7002,SOT-23,1,10,2N7002-T1-E3,ok,,,,,,,,,,,,
64,"-60V Vds, -0.18A Id, P-Channel MOSFET, SOT-23-3",TP0610T,Q2 Q5,Si2333DDS,SOT-23,2,20,SI2333DDS-T1-GE3,ok,,,,,,,,,,,,
