ID,Component,In Stock,Ordered,To Produce,Re-Stock ETA,Details
,Motherboard PCB 0.4,0,20,,2018-06-15,
,Keyboard PCB 0.4,0,20,,2018-06-15,
,Motherboard Component Sets,15,0,,---,https://docs.google.com/spreadsheets/d/1tC8NwxsB_e73I5NA0eHqHX9hIgEEPQOdpadvEB2_x6U/edit#gid=1327218750
,Keyboard Component Sets,0,TODO,,2018-06-15,create updated BOM
,Keyboard Switch Sets (79+2x Cherry ML),22,0,,---,
,i.MX6QP + 4GB RAM TinyRex 1.2GHz,5,0,,---,1 backordered
,i.MX6QP + 4GB RAM TinyRex 1.0GHz,10,0,,---,
,Hinge Pair SMS-ZZ-219 Silver,100,0,,---,
,LCD LP116WH4-SLN2 (1366x768 IPS),20,0,,---,
,40 Pin LVDS IPEX cable 300mm LP140WH1,20,0,,---,
,LiFePo4 Battery 3.2V 11Ah,0,12,,2018-06-15,
,LiFePo4 Battery 3.2V 10Ah,4,0,,---,
,Power Supply 5VDC 8A,1,TODO 10,,2018-06-15,
,Fan HY45T05A-830,10,0,,---,
,Lasercut Acrylic Grid,0,,10,,
,Case Part Main Box Top,0,,10,,"All materials for molds are in stock, molding process evaluation starts 2018-06-07"
,Case Part Main Box Bottom,0,,10,,
,Case Part Main Box Bottom Plate,0,,10,,
,Case Part Main Box Closing,0,,10,,
,Case Part Screen Support Bottom,0,,10,,
,Case Part Screen Support Closing,0,,10,,
,Case Part Screen Back,0,,10,,
,Case Part Screen Front,0,,10,,
,ML Key Cap 1x1 (66 per Set),0,,660,,Decide until 2018-06-11 if molded or printed in Form2
,ML Key Cap 2.2x1 (3 per Set),0,,30,,
,ML Key Cap 2.7x1 (3 per Set),0,,30,,
,ML Key Cap 3.2x1 (1 per Set),0,,10,,
,ML Key Cap 3.7x1 (1 per Set),0,,10,,
,ML Key Cap 4.3x1 (1 per Set),0,,10,,
,ML Key Cap 2.7x1 LSpace (1 per Set),0,,10,,
,ML Key Cap 2.7x1 RSpace (1 per Set),0,,10,,
,ML Key Cap 6x1 MSpace (1 per Set),0,,10,,
,Keyboard Stabilizer Wires (4 per Set),0,,40,,Folded from wire
,Keyboard Stabilizer Holders (8 per Set),0,,80,,3D Printed
,Trackball Key Cap Left,0,,10,,
,Trackball Key Cap Right,0,,10,,
,Trackball Roof,0,,10,,
,Trackball Base,0,,10,,
,Trackball Ball (Steel?),0,TODO 10,,,
,Trackball Teensy LC,10,0,,,
,Trackball Optical Sensor PWM 3360,10,0,,,
,Power Switch Cable,0,,10,,Soldered power cable with 4x2mm shrouded header male
,Battery Cable Assembly,0,,10,,Soldered power cable with 4x2.54mm header female
,Keyboard USB Cable Assembly,0,,10,,Crimped flat cable with 4x2mm pins female
,Trackball USB Cable Assembly,0,,10,,Crimped flat cable with 4x2mm pins female
,Trackball Sensor Cable Assembly,0,,10,,
,Battery Holder (4 per Set),0,,40,,3D printed
,Set of Screws,,TODO Inventory,,,
,Package Cardboard Box,0,TODO design,10,,
,Package Printed Sleeve,0,TODO design,10,,
,Package Shipping Box,0,,10,,
